"file_name","Time","Character","Type.of.Roll","Total.Value","Natural.Value","Crit.","Damage","X..Kills","Notes","roll"
"3","2:29:23","Percy","Insight","Nat1","1",NA,NA,NA,NA,1
"3","2:29:23","Scanlan","Insight","13","13",NA,NA,NA,NA,1
"3","2:29:23","Tiberius","Insight","14","17",NA,NA,NA,NA,1
"3","2:29:23","Vax'ildan","Insight","4","2",NA,NA,NA,NA,1
"3","2:29:23","Vex'ahlia","Insight","24","17",NA,NA,NA,NA,1
"3","2:30:56","Scanlan","Persuasion","17","8",NA,NA,NA,NA,1
"3","2:31:44","Scanlan","Performance","18","5",NA,NA,NA,NA,1
"4","0:19:14","Scanlan","Stealth","9","7",NA,NA,NA,NA,1
"4","0:19:14","Vax'ildan","Stealth","29","16",NA,NA,NA,NA,1
"4","0:20:35","Vax'ildan","Perception","11","1",NA,NA,NA,NA,1
"4","0:20:35","Scanlan","Perception","Unknown","Unknown",NA,NA,NA,"Bad",1
"4","0:20:35","Scanlan","Perception","Unknown","Unknown",NA,NA,NA,"Bad",1
"4","0:22:59","Pike","Religion","Nat20","20",NA,NA,NA,NA,1
"4","0:39:32","Scanlan","Insight","13","13",NA,NA,NA,NA,1
"4","0:39:55","Pike","Insight","Nat20","20",NA,NA,NA,NA,1
"4","0:58:24","Percy","Persuasion","16","10",NA,NA,NA,NA,1
"4","1:07:38","Percy","Tinkering","17","8",NA,NA,NA,"Trapping Arrow",1
"4","1:10:35","Grog","Stealth","Nat1","1",NA,NA,NA,NA,1
"4","1:10:35","Keyleth","Stealth","19","17",NA,NA,NA,NA,1
"4","1:10:35","Percy","Stealth","18","13",NA,NA,NA,NA,1
"4","1:10:35","Pike","Stealth","Nat1","1",NA,NA,NA,NA,1
"4","1:10:35","Scanlan","Stealth","14","12",NA,NA,NA,NA,1
"4","1:10:35","Tiberius","Stealth","16","13",NA,NA,NA,NA,1
"4","1:10:35","Vax'ildan","Stealth","20","7",NA,NA,NA,NA,1
"4","1:13:00","Vax'ildan","Investigation","12","9",NA,NA,NA,NA,1
"4","1:25:10","Grog","Stealth","27","15",NA,NA,NA,NA,1
"4","1:25:10","Keyleth","Stealth","18","6",NA,NA,NA,"With disadvantage and Pass Without a Trace",1
"4","1:25:10","Keyleth","Stealth","Unknown","Unknown",NA,NA,NA,"Disregarded due to disadvantage",1
"4","1:25:10","Percy","Stealth","22","7",NA,NA,NA,"With Pass Without a Trace",1
"4","1:25:10","Pike","Stealth","23","13",NA,NA,NA,"With Pass Without a Trace",1
"4","1:25:10","Scanlan","Stealth","15","3",NA,NA,NA,"With Pass Without a Trace",1
"4","1:25:10","Tiberius","Stealth","18","5",NA,NA,NA,"With Pass Without a Trace",1
"4","1:25:10","Vax'ildan","Stealth","28","5",NA,NA,NA,"With Pass Without a Trace",1
"4","1:30:35","Grog","Stealth","23","11",NA,NA,NA,"With Pass Without a Trace",1
"4","1:30:35","Keyleth","Stealth","Nat1","1",NA,NA,NA,"With Pass Without a Trace",1
"4","1:30:35","Percy","Stealth","29","14",NA,NA,NA,"With Pass Without a Trace",1
"4","1:30:35","Pike","Stealth","21","11",NA,NA,NA,"With Pass Without a Trace",1
