"episode","actor","time_stamp","description"
111,"Grog","1:36:13","Stealth Check with PWaT"
111,"Percy","2:45:11","Investigation Check"
111,"Vex’ahlia","3:01:38","Fenthras against Cultist 1 with Advantage (disregarded"
111,"Vex’ahlia","3:01:48","Fenthras against Cultist 1 with Advantage (disregarded"
111,"Vex’ahlia 3:22:30",NA,"Constitution Save"
111,"Keyleth","3:25:35","Ice Knife AoO against Wraith"
111,"Vax’ildan","4:01:08","Dagger of Venom against Wraith"
112,"Vex’ahlia","0:35:24","Perception Check"
112,"Vax’ildan","1:20:20","Dagger of Venom against Skeleton"
112,"Grog","2:17:57","Perception Check"
112,"Keyleth","2:26:36","Stealth Check with PWaT"
113,"Arkhan","1:33:07","Perception Check"
113,"Gloomstalker","2:03:56","Attack against Dragon (Rolled by Arkhan"
113,"Vax’ildan","3:45:45","Stealth with Pass Without a Trace"
113,"Grog","4:01:26","Religion Check"
113,"Scanlan","1","Dexterity Check"
113,"Arkhan","4:40:15","Fane-Eater Battleaxe against Gilmore"
114,"Scanlan","2","Intelligence Check"
114,"Kashaw","3:09:40","Wisdom Save"
114,"Vex’ahlia","3:20:20","Fenthras Needle Arrow against Vecna"
115,"Percy","2:13:15","Investigation Check"
